# Train        Test        
   87.098653    88.015663 
   86.717171    90.891777 
   88.522484    90.528870 
   88.791970    87.596230 
   89.906594    87.277267 
   90.819773    90.242065 
   90.769717    95.494911 
   91.592748    89.622612 
   90.607160    91.651283 
   89.981492    82.915703 
   88.659014    85.194641 
   88.117965    83.563164 
   87.322995    73.256279 
   87.660750    78.362701 
   88.671383    86.163528 
   89.751549    83.046028 
   90.737053    89.733665 
   91.388957    92.622665 
   92.046594    90.930496 
   90.939659   106.352745 
   90.496124   106.245628 
   89.370292    90.491905 
   87.577174    92.162720 
   87.722921    82.280136 
   87.648233    84.924599 
   88.048281    88.608109 
   89.731837    85.192268 
   89.992595    91.916809 
   90.881838    90.760345 
   90.964038    90.176788 
   90.921923    83.516525 
   90.103240    83.672264 
   89.940284    93.403908 
   88.303690    86.533798 
   87.471650    89.863113 
   86.635924    93.811333 
   87.729131    82.933983 
   89.084241    85.973045 
   89.728741    88.683601 
   90.374261    88.251137 
   90.750009    88.112450 
   91.647439    99.258064 
   91.084227    98.695740 
   90.461298    92.736214 
   88.770049    88.057014 
   87.869771    86.979759 
   87.176887    73.338303 
   87.320577    84.357872 
   88.556830    79.723808 
   90.290187    89.682800 
   90.340891   103.557030 
   91.118254    88.828026 
   91.652993    91.230019 
   91.128080    87.742035 
   90.182885    95.599411 
   88.500277    91.888924 
   88.001077    90.839592 
   86.889420    78.020912 
   86.636087   102.837563 
   87.657496    80.507065 
   88.957686    91.225861 
   90.645361    88.281174 
   91.268019    92.489517 
   90.870125    83.752914 
   90.960874    90.749596 
   90.641802    86.046799 
   89.889306    92.110382 
   88.836818    89.720070 
   87.283908    90.120712 
   86.648081    93.062126 
   87.606833    79.950050 
   88.177579    93.419487 
   89.704231    97.294395 
   91.183213    96.429192 
   91.233751    91.207489 
   90.763677    84.604874 
   90.791733    95.053322 
   89.426353    78.111885 
   88.648968    83.822945 
   87.572534    87.152260 
   87.006526    92.273834 
   87.456590    99.874390 
   88.007577    97.121071 
   88.909428    98.130920 
   90.148931    92.289101 
   90.663757    94.999092 
   91.406963    99.306732 
   90.255658    94.412865 
   90.114463    66.831215 
   88.598299    81.782257 
   87.820189    90.610878 
   87.008051    84.552116 
   86.472294    83.347855 
   87.399484    99.610580 
   88.917109    90.724632 
   89.982441    89.226234 
   91.116548    95.860893 
   90.840801    92.335930 
   91.221545    97.955048 
   90.119101    82.618027 
   89.338793    93.605156 
   88.357798    84.790024 
   87.566885    79.642334 
   86.441749    84.049637 
   86.727390    80.678116 
   88.369983   100.574142 
   88.916439    95.115761 
   90.403359    95.256111 
   90.853596    74.073318 
   90.742885    86.437553 
   90.798532    94.127388 
   89.963910    82.186607 
   88.576205    92.402374 
   87.620283    93.097984 
