# Train        Test        
    4.446754     4.556402 
    4.447929     4.715477 
    4.455694     5.223933 
    4.455529     4.066648 
    4.439408     4.606294 
    4.453488     4.466878 
    4.454782     5.524431 
    4.436711     4.318992 
    4.449237     4.230609 
    4.458536     3.627599 
    4.440554     4.364190 
    4.439032     5.009015 
    4.456741     4.243969 
    4.449230     5.019360 
    4.440963     4.540016 
    4.453254     4.437147 
    4.454971     4.239151 
    4.439940     4.340915 
    4.446458     4.387305 
    4.455914     4.454547 
    4.438925     4.759227 
    4.439925     4.536962 
    4.452503     4.786236 
    4.439667     4.520585 
    4.433477     4.629844 
    4.452695     4.275079 
    4.445435     4.267466 
    4.431461     4.323786 
    4.444047     4.341290 
    4.442520     4.212815 
    4.431760     4.351087 
    4.439584     4.425591 
    4.450773     4.152823 
    4.441150     4.056290 
    4.426616     4.159245 
    4.453512     4.437816 
    4.444705     4.249795 
    4.432197     4.207465 
    4.442224     3.903055 
    4.449587     4.222167 
    4.428962     4.912260 
    4.432364     4.747140 
    4.444361     4.716704 
    4.435339     4.749374 
    4.430772     4.624736 
    4.446656     4.889875 
    4.439812     4.304150 
    4.428313     4.012871 
    4.441880     4.047023 
    4.441035     4.662771 
    4.432371     4.480546 
    4.445346     5.154108 
    4.445830     5.245590 
    4.427861     4.937984 
    4.432734     4.372931 
    4.448851     4.233086 
    4.435906     4.714589 
    4.426918     5.151312 
    4.445244     4.816961 
    4.436852     4.103764 
    4.424156     4.373565 
    4.432105     4.738837 
    4.437562     4.197248 
    4.427702     4.164321 
    4.425199     4.101730 
    4.446557     4.096265 
    4.427387     4.903917 
    4.425464     4.609614 
    4.435378     4.732314 
    4.430470     4.539245 
    4.419545     3.948538 
    4.431118     4.223253 
    4.445440     5.133844 
    4.420155     4.113362 
    4.427929     4.849352 
    4.434993     4.664123 
    4.425756     5.019660 
    4.430146     4.495447 
    4.435806     4.212081 
    4.430485     4.467199 
    4.419049     4.465968 
    4.438372     4.028014 
    4.434312     4.702907 
    4.419084     5.340183 
    4.428624     4.577631 
    4.435554     4.740418 
    4.421348     4.482327 
    4.417630     4.525494 
    4.435863     4.026684 
    4.421135     4.455452 
    4.416454     4.265944 
    4.438454     4.655755 
    4.431391     4.462274 
    4.419237     4.526774 
    4.427332     4.367347 
    4.437393     4.130215 
    4.417295     4.414146 
    4.420273     4.908225 
    4.439049     4.553219 
    4.422079     4.241683 
    4.412075     4.066123 
    4.435773     4.262572 
    4.430716     4.640761 
    4.412597     5.081582 
    4.429060     3.702349 
    4.430530     4.858961 
    4.411153     4.190667 
    4.420758     4.463720 
    4.442311     4.434249 
    4.416217     4.396926 
    4.420330     5.009418 
    4.433522     3.819359 
    4.419598     4.271751 
    4.415463     4.161872 
    4.422980     4.280679 
    4.431832     4.806792 
    4.406895     4.748133 
    4.420812     4.365471 
    4.429302     4.720789 
    4.411812     4.612821 
    4.412208     4.377719 
    4.424106     4.204829 
    4.415177     4.015371 
    4.408172     5.007194 
    4.430973     3.489417 
    4.425704     4.795459 
    4.408302     4.593238 
    4.423483     4.405476 
    4.423979     4.158942 
    4.412003     4.942677 
    4.413040     4.697167 
    4.428271     4.552350 
    4.407347     4.696643 
    4.408866     4.638882 
    4.425833     4.748082 
    4.413392     4.446351 
    4.403608     4.399012 
    4.417643     4.196959 
    4.428123     5.794488 
    4.407821     5.015516 
    4.411142     4.247997 
    4.420282     4.386411 
    4.408120     4.811198 
    4.409957     4.200566 
    4.426065     4.352789 
    4.411677     4.778496 
    4.406913     4.542386 
    4.415359     4.355317 
    4.423224     3.893334 
    4.401864     4.698317 
    4.412361     4.045350 
    4.421624     4.662584 
    4.413744     4.497940 
    4.411736     4.164939 
    4.418694     4.057635 
    4.411369     3.906603 
    4.404167     4.809965 
    4.423523     4.435588 
    4.416551     3.669194 
    4.401875     4.636676 
    4.410159     4.414547 
    4.425440     4.351744 
    4.406052     3.986649 
    4.410424     4.083203 
    4.419748     4.394008 
    4.417311     5.013263 
    4.405140     4.749302 
    4.421993     3.948785 
    4.415576     4.522888 
    4.406056     5.344540 
    4.411253     4.518776 
    4.420486     4.631912 
    4.400878     4.394655 
    4.407925     4.010712 
    4.418198     5.047589 
    4.407290     4.238394 
    4.399938     4.899101 
    4.416442     4.468183 
    4.406294     4.471477 
    4.397565     4.635695 
    4.410192     4.637058 
    4.407040     4.310536 
    4.395240     4.344697 
    4.404155     4.762043 
    4.420767     4.838705 
    4.397656     4.996359 
    4.401213     4.289261 
    4.419187     4.122829 
    4.408607     5.542420 
    4.394842     4.324150 
    4.407228     4.267715 
    4.411738     4.253330 
    4.399708     4.754165 
    4.409398     4.468574 
    4.414209     5.572759 
    4.399972     4.056048 
    4.395274     4.339249 
    4.422202     4.844281 
    4.406055     4.165962 
    4.393628     4.355826 
    4.413721     4.530821 
    4.413542     4.647810 
    4.396390     4.444446 
    4.411667     3.957844 
    4.414708     3.953819 
    4.393020     4.384887 
    4.399921     4.222162 
    4.416406     4.324439 
    4.404017     4.763698 
    4.396830     4.344941 
    4.416587     5.099238 
    4.402098     4.609715 
    4.397057     4.667388 
    4.411236     4.164176 
    4.407764     3.849760 
    4.396489     5.036041 
    4.403594     3.819767 
    4.412134     4.153653 
    4.393359     5.814558 
    4.404505     4.307439 
    4.410649     4.190663 
    4.405263     4.266723 
    4.395833     4.961653 
    4.412295     4.170464 
    4.408129     4.358747 
    4.395719     4.476663 
    4.410325     4.410231 
    4.417274     4.342054 
    4.396237     4.510533 
    4.402431     4.695493 
    4.408057     4.233815 
    4.395454     4.966236 
    4.402510     4.947480 
    4.410410     3.995073 
